block,idx,tensor_idx
[3*]Nc1cccc(C)c1,151943,276
[3*]C(=O)C12CC3CC(CC(C3)C1)C2,151944,277
[2*]c1cnc([1*])s1,151945,278
[2*]N1CCCC1C([1*])=O,151946,279
[3*]N1CCOCC1,151947,280
[3*]CN1CCN(C)CC1,151948,281
[1*]c1ccc([2*])nc1,151949,282
[2*]c1cc([1*])[nH]n1,151950,283
[3*]Nc1ccc(S(N)(=O)=O)cc1,151951,284
[3*]N1CCCCC1,151952,285
[3*]C(=O)c1ccc2c(c1)OCO2,151953,286
[3*]c1ccc(Cl)cc1Cl,151954,287
[2*]N1CCN([1*])CC1C,151955,288
[3*]n1cccn1,151956,289
[3*]c1cccc(C#N)c1,151957,290
[2*]N1CC2CN([1*])CC2C1,151958,291
[3*]NCCCC,151959,292
[2*]C(=O)CCCC[1*],151960,293
[3*]c1ccc(C(N)=O)cc1,151961,294
[2*]c1nc2ccccc2n1C[1*],151962,295
[3*]NCc1cccnc1,151963,296
[3*]c1ccc(OC)c(OC)c1,151964,297
[1*]N1CC=C([2*])CC1,151965,298
[3*]c1cc(C(F)(F)F)cc(C(F)(F)F)c1,151966,299
[3*]C(=O)OCC,151967,300
[2*]N1CCC(N[1*])CC1,151968,301
[3*]c1nccs1,151969,302
[3*]OCCN1CCCCC1,151970,303
[3*]C(=O)c1ccc(O)cc1,151971,304
[3*]NCc1ccncc1,151972,305
[2*]N1CCC(O[1*])CC1,151973,306
[3*]OCCCCCCCC,151974,307
[3*]C(=O)c1ccccc1O,151975,308
[2*]c1nc([1*])c2ccccc2n1,151976,309
[3*]NCC1CCCO1,151977,310
[1*]c1csc([2*])n1,151978,311
[2*]c1n[nH]cc1[1*],151979,312
[2*]c1c[nH]c([1*])n1,151980,313
[2*]c1ccc(S(=O)(=O)N[1*])cc1,151981,314
[2*]C(=O)c1ccc([1*])cc1,151982,315
[3*]N1CCC2(CC1)OCCO2,151983,316
[1*]c1ccc([2*])nn1,151984,317
[1*]NC(CC(C)C)C([2*])=O,151985,318
[1*]NCC([2*])=O,151986,319
[3*]C=CC,151987,320
[3*]c1cc(F)cc(F)c1,151988,321
[2*]C(=O)c1cccc([1*])c1,151989,322
[3*]c1ccccc1F,151990,323
[3*]Nc1ccc(F)cc1,151991,324
[3*]c1ccc(F)cc1F,151992,325
[3*]C(=O)c1cc2ccccc2o1,151993,326
[2*]c1[nH]ncc1[1*],151994,327
[3*]c1ccc(F)c(F)c1,151995,328
[3*]c1cc(C)ccc1C,151996,329
[3*]Nc1ccccc1OC,151997,330
[3*]C(=O)c1cccc(OC)c1,151998,331
[3*]C(=O)C(F)(F)F,151999,332
[3*]c1ccc2c(c1)OCCO2,152000,333
[3*]C(=O)Cn1nnc2ccccc21,152001,334
[3*]c1c(F)cccc1F,152002,335
[3*]c1cccc(Br)c1,152003,336
[1*]c1ccnc([2*])c1,152004,337
[2*]N1CCN(C[1*])CC1,152005,338
[2*]C(=O)CC([1*])=O,152006,339
[1*]c1nnc([2*])o1,152007,340
[3*]Nc1ccc(Cl)cc1,152008,341
[3*]Oc1ccc(Cl)cc1,152009,342
[3*]N1CCN(C(C)=O)CC1,152010,343
[1*]c1nnc([2*])s1,152011,344
[3*]NCCc1c[nH]c2ccccc12,152012,345
[2*]CNC(=S)N[1*],152013,346
[3*]NCCCn1ccnc1,152014,347
[3*]N1CCN(S(=O)(=O)c2ccccc2)CC1,152015,348
[1*]N1CCC(C([2*])=O)CC1,152016,349
[2*]c1nnnn1[1*],152017,350
[3*]Nc1ccc(OC)c(OC)c1,152018,351
[3*]NCCc1ccc(Cl)cc1,152019,352
[3*]N(C)c1ccccc1,152020,353
[3*]Nc1cccc(Cl)c1,152021,354
[3*]c1ccc(Cl)nc1,152022,355
[3*]C(=O)Cc1cccs1,152023,356
[3*]N1CCNCC1,152024,357
[3*]C(=O)Cc1ccc(OC)cc1,152025,358
[3*]c1cc(Cl)cc(Cl)c1,152026,359
[2*]c1ccc([1*])cn1,152027,360
[3*]c1c(OC)cccc1OC,152028,361
[3*]C(=O)c1cccc(Cl)c1,152029,362
[2*]c1ccc([1*])c(F)c1,152030,363
[2*]C(=O)c1cccnc1[1*],152031,364
[2*]C(=O)c1ccccc1C([1*])=O,152032,365
[1*]Nc1ccccc1C([2*])=O,152033,366
[3*]c1cncnc1,152034,367
[3*]NCc1ccc(F)cc1,152035,368
[3*]Oc1ccc(F)cc1,152036,369
[3*]C(=O)NC(C)C,152037,370
[3*]NCc1ccc(OC)cc1,152038,371
[3*]Nc1cccc(C(F)(F)F)c1,152039,372
[1*]c1cn([2*])nn1,152040,373
[3*]c1cc(OC)cc(OC)c1,152041,374
[1*]CN1CCN([2*])CC1,152042,375
[3*]c1ccccc1C(F)(F)F,152043,376
[2*]NC(C([1*])=O)C(C)C,152044,377
[3*]c1ccc(OC)c(O)c1,152045,378
[3*]N(CC)CC,152046,379
[1*]c1noc(C)c1C([2*])=O,152047,380
[3*]NCC,152048,381
[1*]c1csc2ncnc([2*])c12,152049,382
[3*]n1cnc(C)c1,152050,383
[3*]c1ccc(OC)nc1,152051,384
[2*]c1cc([1*])on1,152052,385
[3*]n1cnnn1,152053,386
[3*]NCCCN1CCOCC1,152054,387
[3*]NCc1ccc2c(c1)OCO2,152055,388
[2*]c1cc([1*])nc(N)n1,152056,389
[3*]Nc1ccc(C)c(C)c1,152057,390
[1*]N1CCN(CC([2*])=O)CC1,152058,391
[3*]c1ccccc1C#N,152059,392
[3*]c1ccc(SC)cc1,152060,393
[2*]c1cnn([1*])c1,152061,394
[1*]c1ccc(C([2*])=O)cc1,152062,395
[2*]C(=O)c1ccccc1[1*],152063,396
[2*]c1noc([1*])n1,152064,397
[3*]C(=O)c1ccco1,152065,398
[2*]C(=O)c1ccc(C([1*])=O)cc1,152066,399
[3*]N(C)Cc1ccccc1,152067,400
[2*]C(=O)c1cc([1*])nc2ccccc12,152068,401
[3*]c1ccc([N+](=O)[O-])o1,152069,402
[2*]c1nnc([1*])s1,152070,403
[3*]c1ccc(C)cc1C,152071,404
[3*]C(=O)C=Cc1ccccc1,152072,405
[3*]Nc1ccc2c(c1)OCCO2,152073,406
[1*]c1nc([2*])no1,152074,407
[3*]c1cc(F)ccc1F,152075,408
[3*]CCCCCCCC,152076,409
[1*]c1nnc([2*])c2ccccc12,152077,410
[2*]C(=O)C([1*])c1ccccc1,152078,411
[3*]c1ccc(O)c(OC)c1,152079,412
[2*]c1cn([1*])nn1,152080,413
[3*]Nc1cccc(C)n1,152081,414
[3*]NCc1ccc(C)cc1,152082,415
[3*]C(=S)Nc1ccccc1,152083,416
[3*]c1ccc(OC(F)(F)F)cc1,152084,417
[3*]NC(CCC(=O)O)C(=O)O,152085,418
[3*]Nc1ccccc1N,152086,419
[2*]c1ccnc([1*])c1,152087,420
[3*]NCc1ccccn1,152088,421
[1*]Nc1nnc([2*])o1,152089,422
[3*]OCCN1CCOCC1,152090,423
[2*]c1ccc([1*])s1,152091,424
[2*]c1nccc([1*])n1,152092,425
