target;protectedtarget;numGens;monoDeprotected;diProtected;total#ofBuilings;blockAboveLimits
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CC[1NH]CC1;Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CC[1N](C(=O)OC(C)(C)C)CC1;3;CC(C)S(=O)(=O)c1ccccc1B(O)O.Cc1cc(B(O)O)c(OC(C)C)cc1C1CC[1N](C(=O)OC(C)(C)C)CC1.CC(C)S(=O)(=O)c1ccccc1N.CC(C)S(=O)(=O)c1ccccc1Br.Cc1cc(Br)c(OC(C)C)cc1C1CC[1N](C(=O)OC(C)(C)C)CC1.Cc1cc(N)c(OC(C)C)cc1C1CC[1N](C(=O)OC(C)(C)C)CC1;Cc1cc(Br)c(OC(C)C)cc1B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.Cc1cc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)c(OC(C)C)cc1Br.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncc([1CH3])c(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nc(Br)ncc3[1CH3])cc2)OC(=O)C1(C)C.Cc1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)c(OC(C)C)cc1Br;11;0
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc([1NH2])n2)s1;CC(C)(C)OC(=O)[1NH]c1nccc(-c2sc(C(C)(C)C)nc2-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)n1;3;CC(C)(C)OC(=O)[1NH]c1nccc(B(O)O)n1.O=S(=O)(Nc1cccc(Br)c1F)c1c(F)cccc1F.CC(C)(C)OC(=O)[1NH]c1nccc(Br)n1.O=S(=O)(Nc1cccc(B(O)O)c1F)c1c(F)cccc1F;CN1C(C)(C)C(=O)OB(c2nc(C(C)(C)C)sc2Br)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2sc(C(C)(C)C)nc2Br)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3cccc(Br)c3F)cc2)OC(=O)C1(C)C;7;0
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1;COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1;4;CP(C)(=O)c1ccccc1B(O)O.CP(C)(=O)c1ccccc1Br.CP(C)(=O)c1ccccc1N.CN1CCN(C2CCNCC2)CC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncc([1CH3])c(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nc(Br)ncc3[1CH3])cc2)OC(=O)C1(C)C.COc1cc(Br)ccc1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1;7;0
COc1cc(OC)cc(N(CC[1NH]C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1;COc1cc(OC)cc(N(CC[1N](C(=O)OC(C)(C)C)C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1;2;COc1cc(Br)cc(OC)c1.COc1cc(OC)cc(B(O)O)c1.Cn1cc(B(O)O)cn1.Cn1cc(Br)cn1.CC(C)[1N](CCN)C(=O)OC(C)(C)C;CN1C(C)(C)C(=O)OB(c2ccc3ncc(Br)nc3c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cnc3ccc(Br)cc3n2)OC(=O)C1(C)C;7;1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;2;CC(C)[Si](C#Cc1cccc(B(O)O)c1)(C(C)C)C(C)C.CC(C)[Si](C#Cc1cccc(Br)c1)(C(C)C)C(C)C.COCCOc1cc2ncnc(N)c2cc1OCCOC.COCCOc1cc2ncnc(B(O)O)c2cc1OCCOC.COCCOc1cc2ncnc(Br)c2cc1OCCOC.CC(C)[Si](C#Cc1cccc(N)c1)(C(C)C)C(C)C;COCCOc1cc2c(NC(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)ncnc2cc1Br.COCCOc1cc2ncnc(NC(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)c2cc1Br;8;0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;4;Cc1cccc([1CH3])c1N.OCCN1CCNCC1;Cc1nc(Br)cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)n1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncc(C(=O)O)s3)cc2)OC(=O)C1(C)C;4;0
C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c([1NH2])ncnc32)C1;C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c([1NH]C(=O)OC(C)(C)C)ncnc32)C1;2;C=CC(=O)O.COc1cc(Br)cc(OC)c1.COc1cc(C#Cc2nn([C@H]3CCNC3)c3ncnc([1NH]C(=O)OC(C)(C)C)c23)cc(OC)c1.COc1cc(OC)cc(B(O)O)c1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CC[C@H](n4nc(Br)c5c([1NH]C(=O)OC(C)(C)C)ncnc54)C3)cc2)OC(=O)C1(C)C;5;0
CN1CCN(c2ccc(C(=O)Nc3n[1nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1;CN1CCN(c2ccc(C(=O)Nc3n[1n](C(=O)OC(C)(C)C)c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1;4;NC1CCOCC1.Fc1cc(F)cc(Br)c1.OB(O)c1cc(F)cc(F)c1.CC(C)(C)OC(=O)[1n]1nc(N)c2cc(Cc3cc(F)cc(F)c3)ccc21.CN1CCNCC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3n[1n](C(=O)OC(C)(C)C)c4ccc(Br)cc34)cc2)OC(=O)C1(C)C;6;0
COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1;COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1;4;CS(=O)(=O)Nc1cc([1CH3])cc(B(O)O)c1F.CS(=O)(=O)Nc1cc([1CH3])cc(Br)c1F.C[C@@H](CN)NC(=O)OC(C)(C)C;CC(C)n1cc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)c(Br)n1.CN1C(C)(C)C(=O)OB(c2ccnc(Br)n2)OC(=O)C1(C)C.CC(C)n1cc(Br)c(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)n1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3cc([1CH3])cc(Br)c3F)cc2)OC(=O)C1(C)C;7;0
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC;[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC;4;Cn1cnc(Br)n1.O=C(O)C1CC1;[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)cc1Br.COc1c(Br)cccc1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.COc1c(Br)cccc1B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1;5;0
