,SMILES,blocks
1422,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,[1*]c1ccccc1C#N^[1*]c1cc([2*])c(=O)n(-c2ccccc2)c1^[2*]c1ccccn1
1427,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,[1*]NCCN1CCOCC1^[2*]C(=O)c1ccc(Cl)cc1
1434,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,[1*]c1ccc(Br)cc1^[2*]/C(=C/CN(C)C)c1cccnc1
1448,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,[1*]N1CCN(CCCn2nc3ccccn3c2=O)CC1^[2*]c1cccc(Cl)c1
1457,COc1ccc2cccc(CCNC(C)=O)c2c1,[1*]NCCc1cccc2ccc(OC)cc12^[2*]C(C)=O
1458,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,[1*]N1CCN(CCCCN2C(=O)CC(C)(C)CC2=O)CC1^[2*]c1ncccn1
1481,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,[1*]NCCN(C(C)C)C(C)C^[2*]C(=O)CN1CCCC1=O
1492,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,[1*]NCCN1CCOCC1^[1*]c1cc(C)c([2*])nn1^[2*]c1ccccc1
1494,CC(=O)NCCCS(=O)(=O)O,[1*]NCCCS(=O)(=O)O^[2*]C(C)=O
1500,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,[1*]N1CCN(CCCn2nc(CC)n(CCOc3ccccc3)c2=O)CC1^[2*]c1cccc(Cl)c1
1504,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,[1*]Nc1ncc([N+](=O)[O-])s1^[2*]C(=O)c1ccccc1OC(C)=O
1516,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,[1*]NC(C)CCCN(CC)CC^[2*]c1ccnc2cc(Cl)ccc12
1526,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,[1*]NCc1ccccc1^[2*]C(=O)Cn1ccnc1[N+](=O)[O-]
1534,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,[1*]NC(C)CCCN(CC)CCO^[2*]c1ccnc2cc(Cl)ccc12
1536,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,[1*]Nc1ccc([N+](=O)[O-])cc1Cl^[1*]Oc1ccc(Cl)cc1C([2*])=O
1544,CCN(CC)C(=O)c1cccc(C)c1,[1*]N(CC)CC^[2*]C(=O)c1cccc(C)c1
1556,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,[1*]N1CC(=O)N2CCc3ccccc3C2C1^[2*]C(=O)C1CCCCC1
1561,CN1CCCN=C1/C=C/c1cccs1,[1*]C=CC1=NCCCN1C^[2*]c1cccs1
1587,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,[1*]N(CC1=NCCN1[1*])Cc1ccccc1^[2*]c1ccccc1
1605,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,[1*]Nc1c(Cl)cncc1Cl^[2*]C(=O)c1ccc(OC(F)F)c(OCC2CC2)c1
1618,CCN(CC)CCc1nc(-c2ccccc2)no1,[1*]c1ccccc1^[2*]c1noc(CCN(CC)CC)n1
1622,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,[1*]NCc1ccc(OCCN(C)C)cc1^[2*]C(=O)c1cc(OC)c(OC)c(OC)c1
1638,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,[1*]c1ccccc1^[1*]N(C)CCN1CCC(OC(=O)Nc2ccccc2[2*])CC1^[1*]NC(=O)C1CCN(Cc2ccc(C([2*])=O)cc2)CC1
1651,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,[1*]NC1CCN(CCc2ccc(OC)cc2)CC1^[2*]c1nc2ccccc2n1Cc1ccc(F)cc1
1660,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,[1*]/C(=C\CN1CCCC1)c1ccc(C)cc1^[2*]c1ccccn1
1665,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,[1*]Nc1cc2cc(C(C)(C)CO)n(C[C@@H](O)CO)c2cc1F^[2*]C(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1
1666,CC(=O)Nc1nnc(S(N)(=O)=O)s1,[1*]Nc1nnc(S(=O)(=O)N[1*])s1^[2*]C(C)=O
1688,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,[1*]N1CCCN(C)CC1^[2*]c1nc2ccccc2n1CCOCC
1692,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,[1*]N1CCN(CCc2nnc3n2CCCC3)CC1^[2*]c1ccccc1C
1696,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,[1*]N(CC)Cc1ccncc1^[2*]C(=O)C(CO)c1ccccc1
1811,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,[1*]N(C)C^[1*]c1ccc2cc([2*])ccc2[n+]1C^[2*]C=Cc1cc(C)n(-c2ccccc2)c1C
1812,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])cc2)cc1,[1*]c1ccc(NC)cc1^[2*]C=Cc1ccc(OCCOCCOCC[18F])cc1
1813,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,[1*]c1ccc(NC)cc1^[2*]C=Cc1ccc(OCCOCCOCC[18F])nc1
