,target,protectedtarget,numGens,monoDeprotected,diDeprotected,total#ofBuilings,blockAboveLimits,monoProtected,diProtected,BBs
494,CC(=O)Nc1ccc(OCC(O)C[1NH]C(C)C)cc1,CC(=O)Nc1ccc(OCC(O)C[1N](C(=O)OC(C)(C)C)C(C)C)cc1,2,CC(=O)O.CC(C)[1N](CC(O)COc1ccc(N)cc1)C(=O)OC(C)(C)C,Nc1ccc(Br)cc1,3,0,CC(C)[1N](CC(O)COc1ccc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)cc1)C(=O)OC(C)(C)C.CC(=O)O,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C,CC(=O)O.CC(C)[1N](CC(O)COc1ccc(N)cc1)C(=O)OC(C)(C)C.Nc1ccc(Br)cc1
496,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,1,O=[N+]([O-])c1cccc(B(O)O)c1.OB(O)c1ccccc1.Brc1ccccc1.O=[N+]([O-])c1cccc(Br)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1,,5,0,CN1C(C)(C)C(=O)OB(c2cccc([N+](=O)[O-])c2)OC(=O)C1(C)C.Brc1ccccc1.O=[N+]([O-])c1cccc(Br)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C,,O=[N+]([O-])c1cccc(B(O)O)c1.OB(O)c1ccccc1.Brc1ccccc1.O=[N+]([O-])c1cccc(Br)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1
498,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1,Cc1ccc(C)c(Br)c1.Cc1ccc(C)c(B(O)O)c1,,2,0,Cc1ccc(C)c(Br)c1.Cc1ccc(C)c(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)c1,,Cc1ccc(C)c(Br)c1.Cc1ccc(C)c(B(O)O)c1
500,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,1,,CC(C)(Oc1ccc(B(O)O)cc1)C(=O)O,1,0,,CN1C(C)(C)C(=O)OB(c2ccc(OC(C)(C)C(=O)O)cc2)OC(=O)C1(C)C,CC(C)(Oc1ccc(B(O)O)cc1)C(=O)O
501,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1,CCN(CC)CCOc1c([1CH3])cc(B(O)O)cc1[1CH3].CCCCc1oc2ccccc2c1Br.CCN(CC)CCOc1c([1CH3])cc(Br)cc1[1CH3].CCCCc1oc2ccccc2c1B(O)O,[1CH3]c1cc(Br)cc([1CH3])c1B(O)O.OB(O)c1c(Br)oc2ccccc12.[1CH3]c1cc(C(=O)c2c(B(O)O)oc3ccccc23)cc([1CH3])c1Br.OB(O)c1oc2ccccc2c1Br.[1CH3]c1cc(B(O)O)cc([1CH3])c1Br.[1CH3]c1cc(C(=O)c2c(Br)oc3ccccc23)cc([1CH3])c1B(O)O,10,2,CCCCc1oc2ccccc2c1Br.CCN(CC)CCOc1c([1CH3])cc(Br)cc1[1CH3].CCCCc1oc2ccccc2c1B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CCN(CC)CCOc1c([1CH3])cc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1[1CH3],CN1C(C)(C)C(=O)OB(c2c(Br)oc3ccccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2c([1CH3])cc(C(=O)c3c(Br)oc4ccccc34)cc2[1CH3])OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cc([1CH3])c(Br)c([1CH3])c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2oc3ccccc3c2C(=O)c2cc([1CH3])c(Br)c([1CH3])c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2c([1CH3])cc(Br)cc2[1CH3])OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2oc3ccccc3c2Br)OC(=O)C1(C)C,CCN(CC)CCOc1c([1CH3])cc(B(O)O)cc1[1CH3].CCCCc1oc2ccccc2c1Br.CCN(CC)CCOc1c([1CH3])cc(Br)cc1[1CH3].CCCCc1oc2ccccc2c1B(O)O.[1CH3]c1cc(Br)cc([1CH3])c1B(O)O.OB(O)c1c(Br)oc2ccccc12.[1CH3]c1cc(C(=O)c2c(B(O)O)oc3ccccc23)cc([1CH3])c1Br.OB(O)c1oc2ccccc2c1Br.[1CH3]c1cc(B(O)O)cc([1CH3])c1Br.[1CH3]c1cc(C(=O)c2c(Br)oc3ccccc23)cc([1CH3])c1B(O)O
502,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,3,CC(C)N.Cc1cccc(B(O)O)c1.Cc1cccc(N)c1.Cc1cccc(Br)c1,,4,0,Cc1cccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)c1.CC(C)NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.Cc1cccc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)c1.Cc1cccc(Br)c1,,CC(C)N.Cc1cccc(B(O)O)c1.Cc1cccc(N)c1.Cc1cccc(Br)c1
504,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1,[1CH3]c1ccc(Br)cc1.[1CH3]c1ccc(B(O)O)cc1,CC(C)(Oc1ccc(B(O)O)cc1)C(=O)O,3,0,[1CH3]c1ccc(Br)cc1.CN1C(C)(C)C(=O)OB(c2ccc([1CH3])cc2)OC(=O)C1(C)C,CN1C(C)(C)C(=O)OB(c2ccc(OC(C)(C)C(=O)O)cc2)OC(=O)C1(C)C,[1CH3]c1ccc(Br)cc1.[1CH3]c1ccc(B(O)O)cc1.CC(C)(Oc1ccc(B(O)O)cc1)C(=O)O
509,C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O,C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O,2,C[C@H](CSC(=O)c1ccccc1)C(=O)O,O=C(O)[C@@H]1C[C@H](Sc2ccccc2)CN1,2,0,C[C@H](CSC(=O)c1ccccc1)C(=O)O,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3C[C@@H](Sc4ccccc4)C[C@H]3C(=O)O)cc2)OC(=O)C1(C)C,C[C@H](CSC(=O)c1ccccc1)C(=O)O.O=C(O)[C@@H]1C[C@H](Sc2ccccc2)CN1
517,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,2,CC[C@H](C)C(=O)O,,1,0,CC[C@H](C)C(=O)O,,CC[C@H](C)C(=O)O
518,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,3,COc1ccccc1O.COc1ccccc1Br.Brc1ncccn1.COc1ccccc1B(O)O,,4,0,COc1ccccc1O.COc1ccccc1Br.Brc1ncccn1.COc1ccccc1B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1,,COc1ccccc1O.COc1ccccc1Br.Brc1ncccn1.COc1ccccc1B(O)O
